"code","page","keywords","urls","snippet"
"CA","16","","https://www.gov.ca.gov/wp-content/uploads/2019/09/9.20.19-Climate-EO-N-19-19.pdf; https://www.gov.ca.gov/wp-content/uploads/2020/09/9.23.20-EO-N-79-20-Climate.pdf; https://calsta.ca.gov/-/media/calsta-media/documents/capti-","Section 2: Adaptation & Resilience Policy Landscape in California STATE CLIMATE RESILIENCE IMPROVEMENT PLAN FOR TRANSPORTATION 06 ensuring that state investments consider climate change impacts while promoting the use of both natural systems and structures when developing physical infrastructure to promote resilience. 2.1: CALIFORNIA STATE TRANSPORTATION AGENCY & CALTRANS CLIMATE POLICY The California State Transportation Agency’s (CalSTA) Climate Action Plan for Transportation Infrastructure (CAPTI), Caltrans 2020-2024 Strategic Plan (Strategic Plan), and the California Transportation Plan 2050 (CTP 2050) collectively set the policy framework for Caltrans to advance climate adaptation and respond to the broader whole of government calls to action outlined in the policy summaries above. Below is a summary of these documents and how they inform the implementation of statewide climate adaptation policies in a transportation- specific context: CLIMATE ACTION PLAN FOR TRANSPORTATION INFRASTRUCTURE In response to E.O. N-19-19 and E.O. N-79- 20, CalSTA developed CAPTI (adopted in July 2021), laying out the state’s recommendations for investing billions of discretionary transportation dol"
"CA","17","RIT","https://calsta.ca.gov/-/media/calsta-media/documents/capti-2022-; https://dot.ca.gov/-/media/dot-media/programs/risk-strategic-management/; https://dot.ca.gov/-/media/dot-media/programs/transportation-","Section 2: Adaptation & Resilience Policy Landscape in California STATE CLIMATE RESILIENCE IMPROVEMENT PLAN FOR TRANSPORTATION 07 is “Support Climate Resilience through Transportation System Improvements and Protections for Natural and Working Lands” with specific actions assigned to Caltrans. Additionally, CalSTA is responsible for releasing an annual progress report on CAPTI implementation.9 For status on Caltrans’ actions from CAPTI, see Sections 2.4 and 3. CALTRANS 2020-2024 STRATEGIC PLAN The Strategic Plan lays out the vision, mission, values, goals, and strategic imperatives that guide the Department’s operations.10 “Lead Climate Action” is one of six goals set in the Strategic Plan, reemphasizing the importance of prioritizing action in communities that are disproportionately impacted by climate change. Caltrans is leading climate action by standing up programs committed to climate adaptation and mitigation across its functional units. For a full summary of climate adaptation efforts across Caltrans Divisions, see Section 3.1. CALIFORNIA TRANSPORTATION PLAN 2050 The CTP 2050 articulates the state’s long- term vision for California’s multimodal transportation system. Again, "
"CA","18","application; RIT","https://dot.ca.gov/programs/asset-management/state-highway-system-; https://resilientca.org/projects/aafbf831-a4f0-47a6-8064-c6009a2f2c35/","Section 2: Adaptation & Resilience Policy Landscape in California STATE CLIMATE RESILIENCE IMPROVEMENT PLAN FOR TRANSPORTATION 08 climate resilience investments for asset and system management in the State Highway System Management Plan 2023 (SHSMP, see Section 3.1 for more information), the SCRIPT’s effective dates are 2021 through 2050.12 2.2: KEY CLIMATE ADAPTATION GUIDANCE FOR STATE AGENCIES STATEWIDE GUIDANCE In response to EO B-30-15, OPR released “Planning and Investing for a Resilient California: A Guidebook for State Agencies” (2017), which introduced a four-step process for building resilience and a set of 12 Caltrans, State Highway System Management Plan: https://dot.ca.gov/programs/asset-management/state-highway-system- plan 13 OPR, Planning and Investing for a Resilient California: https://resilientca.org/projects/aafbf831-a4f0-47a6-8064-c6009a2f2c35/ resilient decision-making principles for state agencies when identifying climate-informed infrastructure investments.13 These steps include identifying how climate change could affect a project or plan, conducting an analysis of climate risks, making a climate-informed decision, and tracking and monitoring progress. To da"
"CA","19","map; RIT","https://opc.ca.gov/; https://www.coastal.ca.gov/maps/; https://www.; https://documents.coastal.ca.gov/assets/","Section 2: Adaptation & Resilience Policy Landscape in California STATE CLIMATE RESILIENCE IMPROVEMENT PLAN FOR TRANSPORTATION 09 permitting, and project development.14 The guidance provides a synthesis of the best available science on sea-level rise projections and rates for California; a stepwise approach for state agencies and local governments to evaluate those projections and related hazard information in decision-making; and preferred coastal adaptation approaches. All Caltrans projects in the Coastal Zone must meet the requirements of the California Coastal Act provisions (Public Resources Code § 30000).15 In partnership with coastal cities and counties, the CCC plans and regulates the use of land and water in the Coastal Zone. Certain development activities within coastal zones require a coastal permit from either the CCC or the local government.16 The Coastal Act includes specific policies that address transportation projects in Coastal Zones. Project development in the Coastal Zone combines engineering, resource protection, and aesthetic considerations to be evaluated by Caltrans and the CCC. The CCC built upon the OPC sea level rise guidance to produce guidance for infra"
"CA","20","RIT; Adaptation Priorities Reports","https://www.energy.ca.gov/sites/default/; https://dot.ca.gov/about-caltrans/equity-statement","Section 2: Adaptation & Resilience Policy Landscape in California STATE CLIMATE RESILIENCE IMPROVEMENT PLAN FOR TRANSPORTATION 10 Caltrans follows all state and federal guidance when developing plans and projects in areas vulnerable to sea level rise. 2.3: CLIMATE SCIENCE IN CALIFORNIA – CLIMATE CHANGE ASSESSMENTS California’s climate change assessments are foundational to the state’s climate leadership, furthering actionable science to inform proactive climate change policy. California has completed four comprehensive climate change assessments since 2006 that assess climate impacts and risks to inform policy solutions, plans, programs, and guidance. Collectively, these assessments have been central in promoting effective and integrated action to safeguard the state from climate change impacts. California’s climate change assessments downscale the global climate projections from the Coupled Model Intercomparison Project Phase 6 (CMIP6) used by the U.S. National Climate Assessment (NCA) and Intergovernmental Panel on Climate Change (IPCC) for state and regional use. These downscaled climate projections use hybrid statistical Localized Constructed Analogs 2 (LOCA2) and dynamical Wea"
"CA","21","tool; RIT","https://calsta.ca.gov/-/media/calsta-media/; https://dot.ca.gov/programs/public-affairs/mile-marker; https://dot.ca.gov/","Section 2: Adaptation & Resilience Policy Landscape in California STATE CLIMATE RESILIENCE IMPROVEMENT PLAN FOR TRANSPORTATION 11 Document Year Equity-Centered Actions California Adaptation Strategy20 2021  Support California Native American tribes’ development of climate change and health equity resilience planning tools and capacity.  Support state resources and promote partnerships to expand the capacity of under-resourced communities, including California Native American tribes, to lead and implement climate change mitigation, adaptation, and resilience plans, programs, and projects.  Prioritize social equity, tribal nations, and disadvantaged communities in climate adaptation planning and strategies. CAPTI21 2021  Establish the Transportation Equity Advisory Committee.  Develop and Utilize Equity Index to Assist in Evaluation or Prioritization of Caltrans Projects. Caltrans 2020-2024 Strategic Plan22 2021 Prioritize transportation funding in historically harmed and segmented communities. (“Benefits to disadvantaged communities” is a key evaluation criterion for various competitive programs). CTP 205023 2021 Identify and prioritize deployment of resiliency strategies in th"
"CA","22","tool; map; screening; RIT","","Section 2: Adaptation & Resilience Policy Landscape in California STATE CLIMATE RESILIENCE IMPROVEMENT PLAN FOR TRANSPORTATION 12 CALTRANS TRANSPORTATION EQUITY INDEX Caltrans is currently developing a Transportation Equity Index (EQI). The EQI is a screening tool that uses transportation- specific and socioeconomic indicators to identify priority populations at the census block level. The EQI is a spatial analysis that overlays demographic information with exposure to traffic, crashes, and access to destinations. Caltrans plans to integrate climate vulnerability data into the EQI to be used as yet another tool to help prioritize adaptation investments. Evaluating potential projects with lenses like the EQI will help Caltrans meet the intent of the federal Justice40 Initiative as well as the state’s own ambitious equity policies. 24 Federal definition of disadvantaged communities: “disadvantaged communities are those that are marginalized, underserved, and overburdened by pollution” as defined by EO 14008 (86 FR 7619) and referenced in PROTECT Guidance. As Caltrans has developed its climate adaptation program, the Department and its local and regional partners have utilized several"
"CA","23","tool; RIT","","STATE CLIMATE RESILIENCE IMPROVEMENT PLAN FOR TRANSPORTATION 13 Section 3: Caltrans Climate Adaptation Efforts Caltrans is organized into twelve districts or regional entities, predominantly defined by county boundaries, and a Headquarters that operates in the state’s capital, Sacramento. Caltrans Headquarters is responsible for setting Department-wide policies, and issuing guidance, tools, and training to advance climate adaptation for on-the-ground transportation planning and project delivery taking place in the twelve Caltrans Districts around the state. This section includes an overview of climate adaptation planning and implementation efforts in various Caltrans Headquarters Divisions and provides insight on cross functional roles and responsibilities as climate resilience has proliferated as a strategic priority for the Department. The combination of these products and services, and how they have influenced Department plans and projects, have collectively helped fulfill strategies and actions outlined in the CAPTI, the Strategic Plan, and CTP 2050, and have enabled Caltrans to move resilience planning forward into project implementation. Note that while these overviews focus "
"CA","24","tool; RIT; Adaptation Priorities Reports","https://dot.ca.gov/-/media/dot-media/programs/; https://dot.ca.gov/-/media/dot-media/programs/transportation-; https://dot.ca.gov/-/media/dot-media/","STATE CLIMATE RESILIENCE IMPROVEMENT PLAN FOR TRANSPORTATION 14 Section 3: Caltrans Climate Adaptation Efforts advancing equity and livability in all communities. Therefore, Caltrans recognizes the opportunities for all plans and projects to provide co-benefits to help meet state and federal policy goals regarding equity, health, livability, greenhouse gas emissions and vehicle miles travelled reductions, and goods movement (among others). For example, the Caltrans Asset Management Program includes performance targets for bicycle and pedestrian facilities, and new guidance for Complete Streets components is in development. Additionally, Caltrans is working to advance equity and livability in all communities by developing policy, processes, and guidance for early and continual community input beginning in pre-planning and continuing through project development to ensure that transportation facilities support vibrant livable places, with a focus on addressing the needs and concerns of underserved communities. 3.1: CLIMATE ADAPTATION EFFORTS BY DIVISION DIVISION OF TRANSPORTATION PLANNING Caltrans’ Division of Transportation Planning (DOTP) articulates a long-term vision for Californi"
"CA","25","tool; gis","https://dot.ca.gov/programs/environmental-; https://leginfo.legislature.ca.gov/faces/billTextClient.; https://leginfo.legislature.ca.gov/faces/billNavClient.","STATE CLIMATE RESILIENCE IMPROVEMENT PLAN FOR TRANSPORTATION 15 Section 3: Caltrans Climate Adaptation Efforts DIVISION OF ENVIRONMENTAL ANALYSIS The Caltrans Division of Environmental Analysis (DEA) leads the Department’s compliance with state and federal environmental laws and permitting requirements, typically outlined in various levels of project-level National Environmental Policy Act (NEPA) and California Environmental Quality Act (CEQA) documentation. DEA accomplishes this by encouraging the public to participate in the environmental evaluation process; determining the environmental consequences of Department activities; proposing prudent, feasible and cost- effective strategies and alternatives to avoid or minimize adverse impacts of the Department’s activities; and, ensuring the mitigation selected is appropriate. Caltrans project-level environmental review includes both analysis of a project’s impact on long-term climate change (i.e., operational greenhouse gas emissions), as well as risks associated with physical climate change impacts on the functions of the system or assets themselves (i.e., flooding roadways associated with extreme precipitation events). Project adapt"
"CA","27","RIT; Adaptation Priorities Reports","","STATE CLIMATE RESILIENCE IMPROVEMENT PLAN FOR TRANSPORTATION 17 Section 3: Caltrans Climate Adaptation Efforts efficiently. Maintenance includes a vegetation and wildfire management function that is co-leading climate action in the Department by scaling up the Vegetation Management Program for wildfire adaptation. Maintenance coordinates with local fire officials and environmental practitioners to make data- driven decisions on contract scopes to reduce wildfire risk. Fuel reduction is the extensive thinning of vegetation (grasses, shrubs, and trees) within the right of way. Fuel reduction is prescriptive (custom to the highway segment) and not a routine maintenance activity. Maintenance aims to hit a completion of 260 miles of fuel reduction in high priority corridors every two years, as well as completing 50,000 acres of vegetation management each year. Additionally, Maintenance represents Caltrans on the Governor’s “California Wildfire and Forest Resilience Task Force.” Caltrans has a key role in the 2021-2026 California Wildfire and Forest Resilience Action Plan and has been engaged in advancing specific actions within Task Force Goal 2: Fire Adapted Communities and Fire-Safe R"
"CA","28","RIT","https://dot.ca.gov/programs/transportation-planning/division-of-","STATE CLIMATE RESILIENCE IMPROVEMENT PLAN FOR TRANSPORTATION 18 Section 3: Caltrans Climate Adaptation Efforts integrating climate equity considerations into all planning processes and guidance. Foundational to this is the Department’s assessment of the impacts of climate change on the state’s transportation system. The assessment of climate vulnerability and associated risk has allowed the Department to advance climate adaptation planning by providing the bedrock data needed to assess planning priorities and project needs. Caltrans conducted the Caltrans Climate Change Vulnerability Assessments for the entire State Highway System (SHS) in 2019.32 In this study, Caltrans coordinated with various state and federal agencies and academic institutions to obtain the best available climate data for California, which was used to analyze the potential climate impacts to the SHS. Discussions with professionals from various engineering 32 Caltrans, 2019 Climate Change Vulnerability Assessments: https://dot.ca.gov/programs/transportation-planning/division-of- transportation-planning/air-quality-and-climate-change/2019-climate-change-vulnerability-assessments disciplines helped identify how ch"
"CA","29","application; RIT; Adaptation Priorities Reports","https://dot.ca.gov/programs/transportation-planning/division-of-transportation-","STATE CLIMATE RESILIENCE IMPROVEMENT PLAN FOR TRANSPORTATION 19 Section 3: Caltrans Climate Adaptation Efforts The Vulnerability Assessments found that statewide by the end of the century, 160 miles of the SHS is predicted to be inundated by sea-level rise. Almost 8,000 miles of the SHS is predicted to be at risk of wildfire at some point throughout the century, and California was found to be at risk to all six climate stressors studied. Subsequently, Caltrans completed Adaptation Priorities Reports (APRs) in 2020 that build on the results of the Vulnerability Assessments to prioritize potentially exposed assets in each Caltrans District by conducting a more robust risk assessment including other risk metrics on top of climate vulnerability.33 The prioritization methodology in these reports considers, amongst other things, the timing of the climate impacts, their severity and span, the condition of each asset (a measure of the sensitivity of the asset to damage), the number of system users affected, and the level of network redundancy in the area. Prioritization scores are generated for each potentially exposed asset based on these factors and used to rank them. Caltrans also incor"
"CA","30","gis","https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml","STATE CLIMATE RESILIENCE IMPROVEMENT PLAN FOR TRANSPORTATION 20 Section 4: How the PROTECT Program is Administered in California SB 198 (Government Code § 14560) directs the use of PROTECT Program funds to ensure alignment with existing state climate adaptation policy and guidance, including additional requirements around consideration of climate risk and alignment with California’s Climate Adaptation Strategy.34 Importantly, SB 198 focuses the use of PROTECT funds only on projects that address physical climate risks, versus all natural hazards. 34 SB 198, California Legislative Information, June 30, 2022: https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_ id=202120220SB198 4.1: SENATE BILL 198 SB 198 established two programs to allocate the state’s implementation of PROTECT formula funds: the State Transportation Infrastructure Climate Adaptation Program (STCAP) and the Local Transportation Climate Adaptation Program (LTCAP). The intent of SB 198 is to provide funding by leveraging existing state programs and the new federal HOW THE PROTECT PROGRAM IS ADMINISTERED IN CALIFORNIA SECTION 4"
"CA","31","RIT","","STATE CLIMATE RESILIENCE IMPROVEMENT PLAN FOR TRANSPORTATION 21 Section 4: How the PROTECT Program is Administered in California PROTECT program for both the identification and assessment of climate vulnerabilities and associated risks, and the planning, development, and implementation of transportation projects that adapt to those risks and support holistic and comprehensive resilience outcomes. 4.2: STATE TRANSPORTATION INFRASTRUCTURE CLIMATE ADAPTATION PROGRAM The STCAP (Government Code § Section 14563) is administered by Caltrans for the purposes of utilizing 60% of PROTECT formula funds for planning, developing, and implementing state system projects that assist in adapting transportation infrastructure to climate change. SB 198 requires projects funded by the STCAP to consider all of the following:  The 2020 and 2021 APR or any subsequent updates.  The degree of risk for recurring damage or asset failure due to climate threats.  The benefits of the project to preserving or enhancing regional or statewide mobility, economy, goods movement, and safety, and other benefits associated with protecting the asset.  The benefits of the project to preserving or protecting adjacent "
"CA","32","gis; screening; RIT; Cal-Adapt","https://cal-adapt.org/","STATE CLIMATE RESILIENCE IMPROVEMENT PLAN FOR TRANSPORTATION 22 Section 4: How the PROTECT Program is Administered in California advancing are vulnerable to climate impacts and include prioritized assets in the APRs or through a robust screening using other available climate change data such as Cal-Adapt.35 Additional considerations in selecting projects for funding include:  Consistency with state and local permitting agency requirements  Alignment with State, local, and regional goals  Alignment of proposed scope changes with existing project documentation  Alignment of project schedule with funding schedule for the federal PROTECT formula program Additionally, Caltrans is also allocating 2% of the PROTECT formula funds to advancing adaptation planning needs. These planning “set-aside” funds help fill funding gaps for various early adaptation planning studies that are essential for initiating the long-term development of projects that will help the state meet its target resilience outcomes. Importantly, the planning studies funded with the set-aside allow Caltrans Districts to further investigate vulnerabilities of prioritized assets identified in their respective APRs and id"
"CA","33","RIT","https://catc.ca.gov/programs/local-transportation-climate-; https://mtc.ca.gov/","STATE CLIMATE RESILIENCE IMPROVEMENT PLAN FOR TRANSPORTATION 23 Section 4: How the PROTECT Program is Administered in California and existing state adaptation policy. The CTC reviewed the Cycle One project nominations using the evaluation criteria defined in the 2023 LTCAP Guidelines. Staff recommendations for Cycle One were released in fall 2023, and the program of projects were adopted in fall/winter 2023.36 All eligible LTCAP nominated projects are included in Appendix F. 4.4: LOOKING FORWARD, THE FUTURE OF RESILIENCE IMPROVEMENT PLANNING State transportation leadership is committed to improving the resilience of the multimodal transportation system to climate change as an ongoing strategic goal. As illustrated in this first edition of the SCRIPT, California has made significant progress in implementing 36 CTC, Local Transportation Climate Adaptation Program: https://catc.ca.gov/programs/local-transportation-climate- adaptation-program 37 Metropolitan Transportation Commission/Association of Bay Area Governments and the San Francisco Bay Conservation and Development Commission, Sea Level Rise Adaptation Funding and Investment Framework Final Report: https://mtc.ca.gov/ sites/def"
"CA","34","RIT; Adaptation Priorities Reports","","STATE CLIMATE RESILIENCE IMPROVEMENT PLAN FOR TRANSPORTATION 24 Appendix A. STATEWIDE VULNERABILITY ASSESSMENT SUMMARY REPORT & DISTRICT VULNERABILITY ASSESSMENTS  Vulnerability Assessment Statewide Summary Report (PDF)  2019 Climate Change Vulnerability Assessments B. DISTRICT ADAPTATION PRIORITIES REPORTS  2020 Adaptation Priorities Reports C. CALTRANS CLIMATE CHANGE ADAPTATION STRATEGY REPORT  Caltrans Climate Change Adaptation Strategy Report (PDF) APPENDIX The Bay Bridge The Bay Bridge in San Francisco, California. Editorial Credit: Shutterstock/kropic1."
